camera,date,filename,location,time,url
iPhone 15 Pro Max,16.May 2025,IMG_8784,"Scala dell'Arce Capitolina, 12, 00186 Roma RM, Italy",Friday 12:16,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::dy9NMVFZMWNZR0JZRDl2NGlTQkIrZz09?height=1080
iPhone 15 Pro Max,16.May 2025,IMG_8783,"Scala dell'Arce Capitolina, 12, 00186 Roma RM, Italy",Friday 12:16,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::Z2lEWGhMS0V0OUNjTTFWN0lNZ1ZCZz09?height=1080
iPhone 15 Pro Max,16.May 2025,IMG_8782_1747503546519,"Scala dell'Arce Capitolina, 12, 00186 Roma RM, Italy",Friday 12:14,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::WTgwOEp2QlJGVEt4dHRvVlpHTnlhZz09?height=1080
iPhone 15 Pro Max,16.May 2025,IMG_8781,"Scala dell'Arce Capitolina, 12, 00186 Roma RM, Italy",Friday 12:14,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::Qmw3KzFkNHhpdEJkeld2SnVhNVVRUT09?height=1080
iPhone 15 Pro Max,16.May 2025,IMG_8780,"Scala dell'Arce Capitolina, 12, 00186 Roma RM, Italy",Friday 12:14,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::aVV2aUJBTmpJNW51VUwvbmRxZXFzUT09?height=1080
iPhone 15 Pro Max,16.May 2025,IMG_8779_1747503556132,"Scala dell'Arce Capitolina, 12, 00186 Roma RM, Italy",Friday 12:14,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::cmJvOWJOTWJzL3VZeGhDZ2c3dng2QT09?height=1080
iPhone 15 Pro Max,16.May 2025,IMG_8777,"Scala dell'Arce Capitolina, 12, 00186 Roma RM, Italy",Friday 12:13,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::VE0rMk1lT3hBUmlNdUhTSEs4NW14QT09?height=1080
iPhone 15 Pro Max,16.May 2025,IMG_8776,"Scala dell'Arce Capitolina, 12, 00186 Roma RM, Italy",Friday 12:13,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::WDhHYU11THlPdC9KMGhxZyt5NEZCZz09?height=1080
iPhone 15 Pro Max,16.May 2025,IMG_8773,"Piazza di S.Silvestro, 12, 00187 Roma RM, Italy",Friday 11:36,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::NVNBbGZCZVExMjJtdHU4OFRiekQ0Zz09?height=1080
iPhone 15 Pro Max,16.May 2025,IMG_8772_1747503578064,"Piazza di S.Silvestro, 17A, 00187 Roma RM, Italy",Friday 11:34,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::ZS9ZWm9ZNkxBUG9hVEtPWFJSUEhDZz09?height=1080
iPhone 15 Pro Max,16.May 2025,IMG_8771,"Via del Gambero, 42, 00187 Roma RM, Italy",Friday 11:32,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::R29rWlJKRnBxWWNpQWpGUEVHbU1Xdz09?height=1080
